Person_ID,Timestamp,CH1,CH2,CH3,CH4
59edc316,ts1739731121757,16,16,16,16
59edc316,ts1739731121757,0,0,0,6
59edc316,ts1739731121757,56,35,23,17
59edc316,ts1739731121757,0,0,3,8
59edc316,ts1739731121760,58,37,25,20
59edc316,ts1739731121760,0,0,6,11
59edc316,ts1739731121761,59,37,26,21
59edc316,ts1739731121761,0,2,11,15
59edc316,ts1739731121763,41,28,22,20
59edc316,ts1739731121763,0,9,14,16
59edc316,ts1739731121764,25,19,18,18
59edc316,ts1739731121766,21,21,20,20
59edc316,ts1739731121766,1,8,13,16
59edc316,ts1739731121766,55,41,31,26
59edc316,ts1739731121767,0,0,6,13
59edc316,ts1739731121767,62,39,28,23
59edc316,ts1739731121768,0,0,8,14
59edc316,ts1739731121769,58,38,27,23
59edc316,ts1739731121769,0,0,10,15
59edc316,ts1739731121769,46,30,23,21
59edc316,ts1739731121771,0,8,14,16
59edc316,ts1739731121771,35,26,22,20
59edc316,ts1739731121773,16,22,22,22
59edc316,ts1739731121773,13,16,19,20
59edc316,ts1739731121773,47,39,32,28
59edc316,ts1739731121774,0,0,7,14
59edc316,ts1739731121775,64,41,31,26
59edc316,ts1739731121775,0,0,10,17
59edc316,ts1739731121775,59,40,30,26
59edc316,ts1739731121778,0,0,8,13
59edc316,ts1739731121779,54,34,25,21
59edc316,ts1739731121779,1,14,18,19
59edc316,ts1739731121779,41,32,27,24
59edc316,ts1739731121781,20,26,26,25
59edc316,ts1739731121781,22,23,24,25
59edc316,ts1739731121783,46,40,34,31
59edc316,ts1739731121783,0,0,12,19
59edc316,ts1739731121783,67,45,33,28
59edc316,ts1739731121786,0,0,10,16
59edc316,ts1739731121786,59,39,30,27
59edc316,ts1739731121786,0,0,9,16
59edc316,ts1739731121786,51,33,25,23
59edc316,ts1739731121786,0,0,10,15
59edc316,ts1739731121789,31,20,17,17
59edc316,ts1739731121790,0,9,12,15
59edc316,ts1739731121790,16,15,15,15
59edc316,ts1739731121792,35,30,25,21
59edc316,ts1739731121792,0,5,12,16
59edc316,ts1739731121792,66,48,35,28
59edc316,ts1739731121792,0,0,11,17
59edc316,ts1739731121795,60,40,30,26
59edc316,ts1739731121795,0,0,10,16
59edc316,ts1739731121796,58,37,28,24
59edc316,ts1739731121797,0,4,13,17
59edc316,ts1739731121797,40,27,22,21
59edc316,ts1739731121799,0,7,13,16
59edc316,ts1739731121799,18,15,15,16
59edc316,ts1739731121799,9,13,14,15
59edc316,ts1739731121800,0,0,3,8
59edc316,ts1739731121800,39,26,19,15
59edc316,ts1739731121802,0,0,0,5
59edc316,ts1739731121802,59,37,23,17
59edc316,ts1739731121804,0,0,4,9
59edc316,ts1739731121804,55,35,25,19
59edc316,ts1739731121804,0,0,7,12
59edc316,ts1739731121806,44,28,21,18
59edc316,ts1739731121806,0,1,9,13
59edc316,ts1739731121808,21,15,14,14
59edc316,ts1739731121808,0,5,9,11
59edc316,ts1739731121809,0,0,4,7
59edc316,ts1739731121809,12,9,8,9
59edc316,ts1739731121809,0,0,0,0
59edc316,ts1739731121811,51,32,19,13
59edc316,ts1739731121812,0,0,0,5
59edc316,ts1739731121813,56,34,23,17
59edc316,ts1739731121814,0,0,4,9
59edc316,ts1739731121815,53,33,23,18
59edc316,ts1739731121815,0,0,7,11
59edc316,ts1739731121816,39,24,19,17
59edc316,ts1739731121816,0,1,8,12
59edc316,ts1739731121816,16,11,11,12
59edc316,ts1739731121818,1,6,9,11
59edc316,ts1739731121819,0,0,2,6
59edc316,ts1739731121819,19,14,11,10
59edc316,ts1739731121819,0,0,0,0
59edc316,ts1739731121821,53,31,18,12
59edc316,ts1739731121821,0,0,1,5
59edc316,ts1739731121822,50,32,21,16
59edc316,ts1739731121822,0,0,3,8
59edc316,ts1739731121822,46,28,20,16
59edc316,ts1739731121824,0,0,7,11
59edc316,ts1739731121825,31,21,17,15
59edc316,ts1739731121825,0,7,11,13
59edc316,ts1739731121826,12,11,12,13
59edc316,ts1739731121826,20,19,17,16
59edc316,ts1739731121828,0,0,5,9
59edc316,ts1739731121828,64,43,29,23
59edc316,ts1739731121829,0,0,7,13
59edc316,ts1739731121829,60,39,28,23
59edc316,ts1739731121829,0,0,8,14
59edc316,ts1739731121831,59,38,28,23
59edc316,ts1739731121832,0,2,12,16
59edc316,ts1739731121832,44,30,24,21
59edc316,ts1739731121832,1,12,17,19
59edc316,ts1739731121834,28,23,21,21
59edc316,ts1739731121834,24,25,23,23
59edc316,ts1739731121834,6,13,17,19
59edc316,ts1739731121834,61,47,36,30
59edc316,ts1739731121834,0,0,10,17
59edc316,ts1739731121838,62,40,30,26
59edc316,ts1739731121838,0,0,9,16
59edc316,ts1739731121838,58,39,29,26
59edc316,ts1739731121838,0,0,11,17
59edc316,ts1739731121840,44,29,23,22
59edc316,ts1739731121840,0,5,12,16
59edc316,ts1739731121840,27,20,18,18
59edc316,ts1739731121840,5,12,14,16
59edc316,ts1739731121843,0,3,8,12
59edc316,ts1739731121844,24,19,16,15
59edc316,ts1739731121844,0,0,0,4
59edc316,ts1739731121845,62,37,23,17
59edc316,ts1739731121845,0,0,4,9
59edc316,ts1739731121847,57,37,26,20
59edc316,ts1739731121848,0,0,7,12
59edc316,ts1739731121848,51,33,24,20
59edc316,ts1739731121849,0,4,12,15
59edc316,ts1739731121851,32,24,20,19
59edc316,ts1739731121851,0,8,13,15
59edc316,ts1739731121851,10,10,12,14
59edc316,ts1739731121853,20,19,17,16
59edc316,ts1739731121853,0,0,3,8
59edc316,ts1739731121853,60,40,27,21
59edc316,ts1739731121853,0,0,6,11
59edc316,ts1739731121853,59,37,27,22
59edc316,ts1739731121856,0,0,7,12
59edc316,ts1739731121856,57,36,26,22
59edc316,ts1739731121858,0,0,10,14
59edc316,ts1739731121858,37,25,20,19
59edc316,ts1739731121859,0,4,11,14
59edc316,ts1739731121860,17,13,13,14
59edc316,ts1739731121861,14,15,15,15
59edc316,ts1739731121861,0,5,9,12
59edc316,ts1739731121863,55,40,29,23
59edc316,ts1739731121863,0,0,6,12
59edc316,ts1739731121864,62,40,28,23
59edc316,ts1739731121864,0,0,10,16
59edc316,ts1739731121866,60,41,30,26
59edc316,ts1739731121866,0,7,16,19
59edc316,ts1739731121867,53,38,30,26
59edc316,ts1739731121867,16,25,27,26
59edc316,ts1739731121868,46,39,35,32
59edc316,ts1739731121868,40,41,38,36
59edc316,ts1739731121870,24,30,33,34
59edc316,ts1739731121870,55,50,44,40
59edc316,ts1739731121870,0,0,14,23
59edc316,ts1739731121872,63,41,32,30
59edc316,ts1739731121872,0,0,8,16
59edc316,ts1739731121873,49,32,24,22
59edc316,ts1739731121873,0,0,5,12
59edc316,ts1739731121873,34,20,16,15
59edc316,ts1739731121873,0,0,3,7
59edc316,ts1739731121873,20,14,12,12
59edc316,ts1739731121877,0,5,8,10
59edc316,ts1739731121877,2,4,7,9
59edc316,ts1739731121878,11,11,10,11
59edc316,ts1739731121878,0,0,0,2
59edc316,ts1739731121878,43,27,17,13
59edc316,ts1739731121878,0,0,0,5
59edc316,ts1739731121881,54,34,23,17
59edc316,ts1739731121882,0,0,4,9
59edc316,ts1739731121882,54,34,24,19
59edc316,ts1739731121883,0,0,9,13
59edc316,ts1739731121884,41,27,21,19
59edc316,ts1739731121885,0,8,13,16
59edc316,ts1739731121885,23,18,17,17
59edc316,ts1739731121886,11,15,16,17
59edc316,ts1739731121887,0,2,8,12
59edc316,ts1739731121887,40,30,23,19
59edc316,ts1739731121888,0,0,0,8
59edc316,ts1739731121888,59,36,24,19
59edc316,ts1739731121889,0,0,5,10
59edc316,ts1739731121889,57,37,26,21
59edc316,ts1739731121889,0,0,9,14
59edc316,ts1739731121891,48,31,24,21
59edc316,ts1739731121891,0,6,13,16
59edc316,ts1739731121893,33,24,21,20
59edc316,ts1739731121893,12,18,19,20
59edc316,ts1739731121894,19,19,20,20
59edc316,ts1739731121895,43,37,31,27
59edc316,ts1739731121895,0,0,12,18
59edc316,ts1739731121895,65,44,33,28
59edc316,ts1739731121897,0,0,11,17
59edc316,ts1739731121898,60,41,30,26
59edc316,ts1739731121898,0,0,12,17
59edc316,ts1739731121900,54,36,28,24
59edc316,ts1739731121900,0,11,18,20
59edc316,ts1739731121901,42,32,27,25
59edc316,ts1739731121901,19,25,26,26
59edc316,ts1739731121901,26,25,26,26
59edc316,ts1739731121903,46,40,35,32
59edc316,ts1739731121903,0,6,17,23
59edc316,ts1739731121904,66,48,37,32
59edc316,ts1739731121905,0,0,12,19
59edc316,ts1739731121905,57,38,29,27
59edc316,ts1739731121905,0,0,8,15
59edc316,ts1739731121905,53,34,25,22
59edc316,ts1739731121909,0,1,11,15
59edc316,ts1739731121909,37,25,21,19
59edc316,ts1739731121910,0,9,14,16
59edc316,ts1739731121911,18,16,16,17
59edc316,ts1739731121911,23,22,21,20
59edc316,ts1739731121913,0,5,11,15
59edc316,ts1739731121913,64,46,33,27
59edc316,ts1739731121914,0,0,9,15
59edc316,ts1739731121915,60,39,29,25
59edc316,ts1739731121915,0,0,9,16
59edc316,ts1739731121917,57,37,28,24
59edc316,ts1739731121917,0,1,12,16
59edc316,ts1739731121918,41,28,23,21
59edc316,ts1739731121918,0,8,14,17
59edc316,ts1739731121918,23,18,18,18
59edc316,ts1739731121918,14,17,18,19
59edc316,ts1739731121920,2,7,12,15
59edc316,ts1739731121922,46,35,27,23
59edc316,ts1739731121923,0,0,4,11
59edc316,ts1739731121924,60,38,26,21
59edc316,ts1739731121924,0,0,6,12
59edc316,ts1739731121925,59,38,27,22
59edc316,ts1739731121925,0,0,9,14
59edc316,ts1739731121925,45,29,23,20
59edc316,ts1739731121927,0,4,11,15
59edc316,ts1739731121927,26,19,17,17
59edc316,ts1739731121927,6,12,14,16
59edc316,ts1739731121929,4,8,11,14
59edc316,ts1739731121929,27,23,19,18
59edc316,ts1739731121931,0,0,0,7
59edc316,ts1739731121931,61,38,25,19
59edc316,ts1739731121931,0,0,6,11
59edc316,ts1739731121933,55,35,25,21
59edc316,ts1739731121933,0,0,5,11
59edc316,ts1739731121933,48,30,22,19
59edc316,ts1739731121933,0,0,8,12
59edc316,ts1739731121936,29,19,16,15
59edc316,ts1739731121936,0,4,9,12
59edc316,ts1739731121937,17,13,13,13
59edc316,ts1739731121937,24,22,19,17
59edc316,ts1739731121937,5,11,14,16
59edc316,ts1739731121939,67,49,36,29
59edc316,ts1739731121939,0,0,13,19
59edc316,ts1739731121941,59,41,31,27
59edc316,ts1739731121941,0,0,11,17
59edc316,ts1739731121941,58,38,29,25
59edc316,ts1739731121941,0,3,13,18
59edc316,ts1739731121944,41,28,24,22
59edc316,ts1739731121944,0,11,16,18
59edc316,ts1739731121944,25,20,19,19
59edc316,ts1739731121944,31,29,26,24
59edc316,ts1739731121944,9,16,20,22
59edc316,ts1739731121944,65,50,39,33
59edc316,ts1739731121944,0,0,12,20
59edc316,ts1739731121949,62,41,31,28
59edc316,ts1739731121950,0,0,10,17
59edc316,ts1739731121950,57,38,29,25
59edc316,ts1739731121950,0,0,11,16
59edc316,ts1739731121951,44,31,24,22
59edc316,ts1739731121951,0,9,15,18
59edc316,ts1739731121951,28,22,20,20
59edc316,ts1739731121953,13,18,19,20
59edc316,ts1739731121954,1,7,12,16
59edc316,ts1739731121954,27,23,20,19
59edc316,ts1739731121954,0,0,0,7
59edc316,ts1739731121954,61,37,24,19
59edc316,ts1739731121957,0,0,5,10
59edc316,ts1739731121957,54,35,25,20
59edc316,ts1739731121957,0,0,6,11
59edc316,ts1739731121959,46,29,21,18
59edc316,ts1739731121959,0,3,10,13
59edc316,ts1739731121961,35,25,20,19
59edc316,ts1739731121961,9,16,18,18
59edc316,ts1739731121962,14,16,17,18
59edc316,ts1739731121963,23,23,21,20
59edc316,ts1739731121963,0,0,0,9
59edc316,ts1739731121964,59,38,25,20
59edc316,ts1739731121964,0,0,5,11
59edc316,ts1739731121965,57,36,26,21
59edc316,ts1739731121967,0,0,6,12
59edc316,ts1739731121967,48,31,23,19
59edc316,ts1739731121967,0,0,8,12
59edc316,ts1739731121967,29,19,16,15
59edc316,ts1739731121967,0,3,9,12
59edc316,ts1739731121970,12,9,10,12
59edc316,ts1739731121971,14,14,13,13
59edc316,ts1739731121971,0,3,8,10
59edc316,ts1739731121973,61,43,30,23
59edc316,ts1739731121973,0,0,7,13
59edc316,ts1739731121974,62,39,28,23
59edc316,ts1739731121974,0,0,9,14
59edc316,ts1739731121974,59,39,28,23
59edc316,ts1739731121974,0,2,12,16
59edc316,ts1739731121977,51,35,27,24
59edc316,ts1739731121977,3,16,20,21
59edc316,ts1739731121979,36,29,26,25
59edc316,ts1739731121979,23,27,27,26
59edc316,ts1739731121979,9,16,20,22
59edc316,ts1739731121979,42,36,31,28
59edc316,ts1739731121981,0,0,5,14
59edc316,ts1739731121982,62,38,27,23
59edc316,ts1739731121983,0,0,6,13
59edc316,ts1739731121983,56,36,26,22
59edc316,ts1739731121984,0,0,7,13
59edc316,ts1739731121984,47,30,23,20
59edc316,ts1739731121984,0,3,10,14
59edc316,ts1739731121987,32,23,19,18
59edc316,ts1739731121987,6,14,16,17
59edc316,ts1739731121987,19,18,18,18
59edc316,ts1739731121988,45,37,30,26
59edc316,ts1739731121989,0,4,14,18
59edc316,ts1739731121989,66,46,35,29
59edc316,ts1739731121991,0,0,11,18
59edc316,ts1739731121991,56,37,28,25
59edc316,ts1739731121991,0,0,7,14
59edc316,ts1739731121993,49,30,23,20
59edc316,ts1739731121993,0,0,9,13
59edc316,ts1739731121994,31,21,17,16
59edc316,ts1739731121994,0,6,11,14
59edc316,ts1739731121996,11,10,11,13
59edc316,ts1739731121997,16,16,15,15
59edc316,ts1739731121997,0,0,3,8
59edc316,ts1739731121997,57,39,27,21
59edc316,ts1739731121997,0,0,5,11
59edc316,ts1739731122000,60,38,27,22
59edc316,ts1739731122000,0,0,7,13
59edc316,ts1739731122000,56,37,27,22
59edc316,ts1739731122001,0,1,11,15
59edc316,ts1739731122001,47,33,26,23
59edc316,ts1739731122002,5,16,20,21
59edc316,ts1739731122004,39,32,28,26
59edc316,ts1739731122004,38,37,34,31
59edc316,ts1739731122005,25,29,31,31
59edc316,ts1739731122005,70,57,47,41
59edc316,ts1739731122005,0,2,19,27
59edc316,ts1739731122008,63,43,35,33
59edc316,ts1739731122008,0,0,12,20
59edc316,ts1739731122008,60,39,30,27
59edc316,ts1739731122008,0,2,13,18
59edc316,ts1739731122011,46,32,25,23
59edc316,ts1739731122011,0,9,15,18
59edc316,ts1739731122011,28,22,20,20
59edc316,ts1739731122013,10,15,18,19
59edc316,ts1739731122014,3,7,12,15
59edc316,ts1739731122014,33,26,22,20
59edc316,ts1739731122015,0,0,0,8
59edc316,ts1739731122016,62,38,25,20
59edc316,ts1739731122017,0,0,5,11
59edc316,ts1739731122017,58,37,26,21
59edc316,ts1739731122017,0,0,8,13
59edc316,ts1739731122017,53,33,24,21
59edc316,ts1739731122019,0,6,13,16
59edc316,ts1739731122020,37,28,23,21
59edc316,ts1739731122020,9,17,20,20
59edc316,ts1739731122021,20,19,20,21
59edc316,ts1739731122021,32,29,26,25
59edc316,ts1739731122023,0,0,10,16
59edc316,ts1739731122023,65,45,32,27
59edc316,ts1739731122023,0,0,9,16
59edc316,ts1739731122023,59,38,28,24
59edc316,ts1739731122023,0,0,7,14
59edc316,ts1739731122023,53,34,25,22
59edc316,ts1739731122027,0,0,10,14
59edc316,ts1739731122027,35,23,19,18
59edc316,ts1739731122028,0,4,10,13
59edc316,ts1739731122028,13,10,11,13
59edc316,ts1739731122029,8,10,12,13
59edc316,ts1739731122029,0,0,1,6
59edc316,ts1739731122029,39,26,18,15
59edc316,ts1739731122029,0,0,0,5
59edc316,ts1739731122032,58,35,22,17
59edc316,ts1739731122033,0,0,4,9
59edc316,ts1739731122034,52,33,23,18
59edc316,ts1739731122034,0,0,6,10
59edc316,ts1739731122035,37,23,18,16
59edc316,ts1739731122035,0,0,7,11
59edc316,ts1739731122035,19,13,12,12
59edc316,ts1739731122035,0,5,8,10
59edc316,ts1739731122037,0,0,4,7
59edc316,ts1739731122038,16,13,11,10
59edc316,ts1739731122038,0,0,0,1
59edc316,ts1739731122039,62,39,24,16
59edc316,ts1739731122040,0,0,4,9
59edc316,ts1739731122041,57,37,26,20
59edc316,ts1739731122041,0,0,6,12
59edc316,ts1739731122042,56,36,26,21
59edc316,ts1739731122042,0,2,11,15
59edc316,ts1739731122042,37,26,21,20
59edc316,ts1739731122042,0,9,14,16
59edc316,ts1739731122045,23,18,17,17
59edc316,ts1739731122045,25,24,22,20
59edc316,ts1739731122046,3,10,15,17
59edc316,ts1739731122047,65,48,36,29
59edc316,ts1739731122047,0,0,11,18
59edc316,ts1739731122048,61,40,30,26
59edc316,ts1739731122049,0,0,10,16
59edc316,ts1739731122049,58,39,29,25
59edc316,ts1739731122049,0,2,12,17
59edc316,ts1739731122051,44,31,25,22
59edc316,ts1739731122051,0,11,16,18
59edc316,ts1739731122051,30,25,22,21
59edc316,ts1739731122054,18,22,22,22
59edc316,ts1739731122054,6,12,16,19
59edc316,ts1739731122055,52,41,32,28
59edc316,ts1739731122055,0,0,7,15
59edc316,ts1739731122057,63,40,29,25
59edc316,ts1739731122057,0,0,8,15
59edc316,ts1739731122059,57,38,28,24
59edc316,ts1739731122059,0,0,10,15
59edc316,ts1739731122059,47,31,24,22
59edc316,ts1739731122061,0,9,15,18
59edc316,ts1739731122061,33,26,22,21
59edc316,ts1739731122061,15,20,21,21
59edc316,ts1739731122061,16,18,19,20
59edc316,ts1739731122061,42,35,30,27
59edc316,ts1739731122065,0,0,8,15
59edc316,ts1739731122065,65,41,30,25
59edc316,ts1739731122065,0,0,8,15
59edc316,ts1739731122065,58,37,28,24
59edc316,ts1739731122068,0,0,8,14
59edc316,ts1739731122068,50,32,24,21
59edc316,ts1739731122068,0,2,11,15
59edc316,ts1739731122068,33,23,19,18
59edc316,ts1739731122070,0,9,13,16
59edc316,ts1739731122071,11,10,12,14
59edc316,ts1739731122071,19,18,16,16
59edc316,ts1739731122071,0,0,0,7
59edc316,ts1739731122073,63,39,26,20
59edc316,ts1739731122073,0,0,5,11
59edc316,ts1739731122073,59,37,27,21
59edc316,ts1739731122075,0,0,7,12
59edc316,ts1739731122075,56,36,26,22
59edc316,ts1739731122077,0,2,12,16
59edc316,ts1739731122077,39,27,22,20
59edc316,ts1739731122077,0,11,16,18
59edc316,ts1739731122077,26,21,20,20
59edc316,ts1739731122079,25,25,23,22
59edc316,ts1739731122079,4,11,16,18
59edc316,ts1739731122081,64,49,37,30
59edc316,ts1739731122082,0,0,11,18
